province,year,PDRB per Orang yang Bekerja,PDRB per Kapita,Keluhan Kesehatan per Bulan (Persen),Keterbukaan Perdagangan,Sektor Formal,Pengangguran (Persen),Indeks Pembangunan Manusia,Belanja Pemerintah,Belanja Modal Pemerintah,Wilayah,Kemiskinan (Persen),Rasio Gini,Sanitasi yang Layak,Air Bersih,Tingkat Kelulusan Sekolah (SMA),Pertanian,Angka Harapan Hidup,PDRB Nominal,Populasi (ribuan),Investasi Sektor Swasta,PMA,PMDN
JAMBI,2016,80.69687616,37728.8,23.68,1.15049901,0.3791,4.33,69.62,15417.97,3731.4,Indonesia Bagian Barat,8.39,0.3475,65.65,63.23,60.5,51441.78711,70.655,171199468.1,3458.9,4720.1,835.7,3884.4
JAMBI,2017,79.05910192,38833.87,20.62,1.219727288,0.4147,3.77,69.99,16872.74,3913.99,Indonesia Bagian Barat,8.045,0.3345,64.2,65.73,58.27,56325.28159,70.71,189787722.3,3515,4028.04,1021.44,3006.6
JAMBI,2018,80.08913129,40025.52,22.41,1.25870779,0.4355,3.645,70.65,17331.54,3675.25,Indonesia Bagian Barat,7.885,0.3345,63.99,66.66,66.06,57893.12454,70.845,207878694.3,3570.3,4241.96,1365.46,2876.5
JAMBI,2019,86.61484202,41812.35,21.42,1.248976773,0.4294,3.79,71.26,19665.28,4513.78,Indonesia Bagian Barat,7.555,0.322,75.6,76.92,56.87,60510.6385,71.04,216927708.2,3624.6,5256.4,819,4437.4
JAMBI,2020,85.83639932,41952.77,21.63,1.109790744,0.3726,4.695,71.29,18073.86,3251.13,Indonesia Bagian Barat,7.775,0.318,77.82,78.86,63.66,63708.20131,71.17,206242611,3548.2,3900.5,388.8,3511.7
JAMBI,2021,88.17697143,42922.34,16.83,1.123605982,0.3799,4.925,71.63,18037.55,3186.3,Indonesia Bagian Barat,7.88,0.318,80.36,79.7,64.51,73769.56375,71.26,233725458.6,3585.1,6947.34,743.14,6204.2
SUMATERA SELATAN,2015,66.5798335,31549.3,29.41,0.825109488,0.3869,5.55,67.46,26946.58,6940.54,Indonesia Bagian Barat,14.01,0.347,61.3,65.16,48.9,56841.7205,69.19,331765701.7,8062.7,19016.6,8072.5,10944.1
SUMATERA SELATAN,2016,68.52722068,32699.5,26.63,0.778810118,0.3929,4.125,68.24,29539.59,6727.45,Indonesia Bagian Barat,13.465,0.355,65.05,63.77,55.37,59090.06733,69.22,353866964.6,8160.9,46805.05,38270.95,8534.1
SUMATERA SELATAN,2017,68.95813107,34059.71,26.82,0.910718769,0.376,4.095,68.86,32325.39,7640.39,Indonesia Bagian Barat,13.145,0.363,66.36,64.02,54.15,60507.64566,69.23,382885701.3,8267,23932.77,15732.57,8200.2
SUMATERA SELATAN,2018,70.36188884,35659.82,28.57,0.937064965,0.3878,4.175,69.39,35413.57,7868.77,Indonesia Bagian Barat,12.81,0.3495,68.6,65.31,63.94,62234.16812,69.46,419392156.7,8370.3,23973.04,14453.24,9519.8
SUMATERA SELATAN,2019,74.84751286,37125.75,30.9,0.721567182,0.3948,4.275,70.02,42097.23,10348.29,Indonesia Bagian Barat,12.635,0.3345,74.67,80.37,58.23,65661.80644,69.705,453402714.1,8470.7,27968.6,11047.5,16921.1
SUMATERA SELATAN,2020,74.89424436,37323.24,29.32,0.61433895,0.3474,4.705,70.01,40214.24,8710.29,Indonesia Bagian Barat,12.82,0.3385,76.94,80.78,65.42,69501.21043,69.93,456647864.4,8467.4,38056.66,22232.16,15824.5
SUMATERA SELATAN,2021,77.43842769,38172.58,27.91,0.569280157,0.3584,5.075,70.24,40429.5,9039.18,Indonesia Bagian Barat,12.815,0.3405,77.29,84.7,67.2,74311.30953,70.03,491566450.4,8550.9,34658.52,18391.62,16266.9
BENGKULU,2015,40.32924248,20302.48,27.96,1.036891056,0.3119,4.06,68.59,10099.79,2360.15,Indonesia Bagian Barat,17.52,0.3735,39.22,41.08,55.94,15429.03797,68.54,50334017.7,2100.6,811.4,257.5,553.9
BENGKULU,2016,41.68057924,21039.84,27.66,1.031737125,0.3408,3.57,69.33,11069.95,2608.94,Indonesia Bagian Barat,17.175,0.3555,49.75,37.35,64.31,16538.02388,68.555,55384172.03,1904.8,1712.19,763.09,949.1
BENGKULU,2017,41.88257294,21751.64,24.83,1.066128888,0.3361,3.275,69.95,11704.5,2446.44,Indonesia Bagian Barat,16.02,0.35,42.71,43.83,62.57,17729.63469,68.575,60657676.57,1934.3,2141.21,1844.71,296.5
BENGKULU,2018,42.80529842,22494.84,27.07,1.036147315,0.3116,2.99,70.64,11757.59,2029.48,Indonesia Bagian Barat,15.42,0.3585,44.31,49.37,58.86,19029.33606,68.825,66402993.05,1963.3,6733.24,1830.44,4902.8
BENGKULU,2019,44.72130975,23504.53,29.72,1.014597403,0.3488,2.835,71.21,12684.18,2467.32,Indonesia Bagian Barat,15.07,0.3345,75.91,57.6,61.47,20314.88799,69.205,72098240.45,1991.8,7630.1,2172,5458.1
BENGKULU,2020,43.42358024,23105.92,30.23,0.99135937,0.3077,3.575,71.4,12082.87,1902.41,Indonesia Bagian Barat,15.165,0.3285,78.1,62.47,62.73,20782.22213,69.37,73305267.04,2010.7,8168.32,2769.12,5399.2
BENGKULU,2021,45.84913903,23532.24,26.63,1.003826106,0.3184,3.685,71.64,11848.33,1578.39,Indonesia Bagian Barat,14.825,0.3235,79.81,67.39,62.46,22445.15525,69.47,79576326.26,2032.9,5269.52,346.02,4923.5
LAMPUNG,2015,50.88686579,24581.78,31.42,0.876830198,0.2917,4.29,66.95,21685.11,4466.01,Indonesia Bagian Barat,13.94,0.364,44.83,55.06,40.6,80725.80724,69.94,252883103.5,8123,4323.55,3221.25,1102.3
LAMPUNG,2016,54.42381237,25568.57,27.39,0.827497526,0.299,4.58,67.65,25211.07,5655.41,Indonesia Bagian Barat,14.075,0.361,58.58,52.41,47.62,88729.8836,69.965,279417617.2,8205.1,7205.89,1174.09,6031.8
LAMPUNG,2017,54.04679486,26614.88,28.52,0.839885247,0.2971,4.38,68.25,28287.3,6474.51,Indonesia Bagian Barat,13.365,0.3335,52.89,53.79,48.75,93751.15471,69.975,306700430.7,8289.6,8618.78,1603.98,7014.8
LAMPUNG,2018,53.82969956,27736.26,30.66,0.901840213,0.2921,4.18,69.02,29040.59,6167.26,Indonesia Bagian Barat,13.075,0.336,52.48,56.78,54.89,99405.8344,70.205,332446070.7,8370.5,14087.52,1772.82,12314.7
LAMPUNG,2019,56.23813421,28894.5,35.32,0.895293604,0.3151,3.99,69.57,29130.58,4528.49,Indonesia Bagian Barat,12.46,0.3305,79.22,73.3,54.87,102702.718,70.56,356676828.4,8447.7,4756.9,2328,2428.9
LAMPUNG,2020,55.12285602,26743.75,31.35,0.859620761,0.2774,4.465,69.69,28595.23,3513,Indonesia Bagian Barat,12.55,0.3235,78.81,74.97,57.59,105263.9123,70.695,353530038.8,9007.8,14297.46,7176.96,7120.5
LAMPUNG,2021,56.01259803,27197.46,28.44,0.940665976,0.2869,4.615,69.9,28789.46,3812.11,Indonesia Bagian Barat,12.145,0.3185,83.89,80.2,60.09,105585.5623,70.775,371903171.9,9081.8,13050.68,2537.48,10513.2
KEP. BANGKA BELITUNG,2015,68.72826778,33480.38,30.42,1.092013467,0.4587,4.82,69.05,7618.13,1749.32,Indonesia Bagian Barat,5.115,0.279,80.8,68.03,43.46,12060.36543,69.93,60987324.5,1373.3,2057.45,1033.75,1023.7
KEP. BANGKA BELITUNG,2016,74.15477999,34132.87,31.33,0.909760005,0.4443,4.385,69.55,8501.4,1928.42,Indonesia Bagian Barat,5.13,0.2815,83.16,63.95,53.84,13117.18598,69.965,65048232.09,1401.8,2923.99,721.99,2202
KEP. BANGKA BELITUNG,2017,71.81898778,34933.52,27.7,1.097848002,0.5162,4.12,69.99,8216.32,1606.9,Indonesia Bagian Barat,5.25,0.279,83.56,68.14,51.55,13143.21358,69.985,69865208.41,1430.9,3770.93,2036.23,1734.7
KEP. BANGKA BELITUNG,2018,72.16097922,35762.04,29.15,1.050246301,0.4957,3.6,70.67,8657.81,1597.65,Indonesia Bagian Barat,5.01,0.2765,85.64,66.83,55.01,13159.31345,70.215,73113281.66,1459.9,3733.32,620.42,3112.9
KEP. BANGKA BELITUNG,2019,76.68083715,37173.14,32.76,0.83545172,0.5318,3.45,71.3,9671.95,1821.6,Indonesia Bagian Barat,4.56,0.266,90.32,73.45,53.84,13589.89708,70.545,75794959.5,1488.8,4245.7,1330.5,2915.2
KEP. BANGKA BELITUNG,2020,71.81117968,36302.97,31.25,0.771705947,0.4707,4.3,71.47,9037.41,1382.12,Indonesia Bagian Barat,4.71,0.2595,92.58,75.06,56.74,15444.14767,70.68,75495257.2,1455.7,2560.76,696.96,1863.8
KEP. BANGKA BELITUNG,2021,77.02974235,37579.45,26.16,1.095033395,0.4907,5.035,71.69,8937.95,1370.34,Indonesia Bagian Barat,4.785,0.2515,92.24,73.4,63.98,16896.10305,70.78,85942704.03,1473.2,4330.02,652.62,3677.4
KEP. RIAU,2015,190.4791356,78625.43,21.28,3.040664311,0.719,7.625,73.75,9436.71,1662.44,Indonesia Bagian Barat,6.01,0.3515,71.97,84.12,65.28,7087.959606,69.46,199570394.5,1982.8,8617.1,8005,612.1
KEP. RIAU,2016,196.104994,80295.6,22.17,3.011258505,0.662,8.36,73.99,10519.89,1962.84,Indonesia Bagian Barat,5.91,0.353,79.55,85.31,75.93,7729.46947,69.49,216007664.1,2028.2,7604.17,7111.67,492.5
KEP. RIAU,2017,168.5049453,79743.68,21.46,2.936290711,0.6851,6.8,74.45,11235.23,2105.39,Indonesia Bagian Barat,6.095,0.3465,86.33,83.95,83.55,7981.525772,69.5,227706877,2082.7,15116.95,13718.95,1398
KEP. RIAU,2018,167.5934293,81206.2,22.4,2.890362836,0.6822,7.67,74.84,11649.49,2272.24,Indonesia Bagian Barat,6.015,0.3345,85.07,83.56,82.86,8100.215589,69.66,248822233.1,2136.5,15525.42,11139.42,4386
KEP. RIAU,2019,177.4644875,81138.52,21.37,2.888379782,0.7043,7.26,75.48,13167.55,2777.8,Indonesia Bagian Barat,5.85,0.3385,89.13,88.51,78.14,8223.770092,69.825,267631477.9,2189.7,26107.4,20451,5656.4
KEP. RIAU,2020,164.744394,85012.58,18.21,2.939380992,0.6459,8.16,75.59,12508.82,1843.84,Indonesia Bagian Barat,6.025,0.3365,89.19,90.41,78.65,8061.287208,69.99,254227859.8,2064.6,38000.36,23751.36,14249
KEP. RIAU,2021,174.4737104,85425.89,14.72,3.079439221,0.648,10.015,75.79,12272.09,1783.65,Indonesia Bagian Barat,5.935,0.341,91.62,90.83,81.07,8471.006793,70.155,275636327.7,2118.2,25006.72,15238.02,9768.7
DKI JAKARTA,2015,286.0764188,142913.61,33.39,0.939119473,0.7296,7.795,78.99,43031.32,10244.02,Indonesia Bagian Barat,3.77,0.426,89.28,93.4,74.1,1863.907693,72.48,1989088748,10179,60755.2,45242.5,15512.7
DKI JAKARTA,2016,307.7034891,149831.9,30.45,0.896365719,0.6871,5.945,79.6,47128.81,8965.47,Indonesia Bagian Barat,3.75,0.404,91.13,92.44,74.74,1985.829598,72.565,2159073618,10277.6,58772.24,46555.34,12216.9
DKI JAKARTA,2017,316.368146,157636.6,27.05,1.077511093,0.7155,6.25,80.06,51066.08,11045.72,Indonesia Bagian Barat,3.775,0.411,91.13,88.93,78.25,2051.396786,72.595,2365353855,10374.2,108375.8,61113.5,47262.3
DKI JAKARTA,2018,335.743422,165768.99,28.83,1.318376531,0.6985,6.19,80.47,61410.12,14118.61,Indonesia Bagian Barat,3.56,0.392,90.73,89.59,83.48,2124.821889,72.715,2592606572,10467.6,114190.58,65093.18,49097.4
DKI JAKARTA,2019,355.1413416,174812.51,29.28,1.194887899,0.6865,6.02,80.76,64938.36,11551.93,Indonesia Bagian Barat,3.445,0.3905,92.89,99.82,84.35,2189.144634,72.82,2815636157,10557.8,123939.8,61845,62094.8
DKI JAKARTA,2020,345.4595557,170099.68,33.8,1.09839296,0.6178,8.05,80.77,52088.13,3173.22,Indonesia Bagian Barat,4.61,0.3995,93.04,99.84,85.67,2237.535008,72.95,2768189733,10562.1,94986.22,52031.52,42954.7
DKI JAKARTA,2021,378.129073,174962.98,25.98,1.186914439,0.6174,8.505,81.11,61619.04,6865.83,Indonesia Bagian Barat,4.695,0.41,95.17,99.86,84.98,2376.809849,73.06,2914581083,10609.7,103334.96,48626.76,54708.2
JAWA BARAT,2015,59.01348644,25845.5,28.11,0.674277221,0.4961,8.56,69.5,95342.23,17859.91,Indonesia Bagian Barat,9.55,0.4205,59.43,67.2,48.53,132497.8535,72.45,1524974827,46805.4,98006.65,71733.75,26272.9
JAWA BARAT,2016,62.90931574,26923.51,28.32,0.648108098,0.5136,8.73,70.05,107328.81,19959.61,Indonesia Bagian Barat,8.86,0.4075,63.79,67.62,55.03,146767.9352,72.48,1653238422,47379.4,105311.53,74951.33,30360.2
JAWA BARAT,2017,64.84124242,27970.92,29.26,0.694318903,0.5022,8.355,70.69,116797.11,18525.8,Indonesia Bagian Barat,8.27,0.398,64.4,70.5,48.32,152939.4259,72.5,1788117361,48037.6,106791.17,68400.57,38390.6
JAWA BARAT,2018,67.42643479,29160.06,31.03,0.729688985,0.5179,8.225,71.3,119963.28,17845.53,Indonesia Bagian Barat,7.35,0.406,64.73,71.06,61.04,170155.2099,72.69,1960627652,48683.7,116963.1,74684.9,42278.2
JAWA BARAT,2019,67.33220109,30413.37,33.09,0.741211509,0.498,7.91,72.03,129716.96,19634.12,Indonesia Bagian Barat,6.865,0.399,69.64,92.3,57.46,186441.3485,72.92,2123153711,49316.7,137499.2,88215,49284.2
JAWA BARAT,2020,64.26134805,30180.54,32.04,0.674182908,0.4441,9.085,72.09,128048.15,14070.13,Indonesia Bagian Barat,8.155,0.4005,71.4,93.42,63.56,192139.1144,73.15,2084620246,48274.2,120429.78,69029.28,51400.5
JAWA BARAT,2021,67.57653625,30907.59,29.74,0.79016083,0.4539,9.37,72.45,130637.22,15530.13,Indonesia Bagian Barat,8.185,0.409,71.66,93.24,64.89,188617.9844,73.38,2209822384,48782.4,136126.92,76178.42,59948.5
JAWA TENGAH,2015,46.57452533,23887.06,35.52,0.695703186,0.3828,5.15,69.49,79004.71,13019.98,Indonesia Bagian Barat,13.45,0.382,67.2,73.63,43.86,157201.7239,74,1010986637,33728.9,26040.7,10630,15410.7
JAWA TENGAH,2016,49.4753952,24959.49,33.39,0.6974945,0.3783,4.415,69.98,90731.44,17234.13,Indonesia Bagian Barat,13.23,0.3615,70.66,76.3,44.59,164512.0133,74.045,1087316683,34019.1,38192.36,14121.96,24070.4
JAWA TENGAH,2017,51.2366559,26088.91,32.72,0.712589883,0.3971,4.36,70.52,97417.66,16075.27,Indonesia Bagian Barat,12.62,0.365,71.84,76.09,51.52,168806.5187,74.09,1172794524,34257.9,51420.25,31554.25,19866
JAWA TENGAH,2018,53.34961126,27285.25,34.36,0.763202126,0.3933,4.33,71.12,100372.35,15532.09,Indonesia Bagian Barat,11.255,0.3675,74.04,78.16,55.62,178352.8841,74.19,1268261166,34490.8,59269.08,31794.18,27474.9
JAWA TENGAH,2019,55.18037662,28695.92,36.83,0.760510418,0.4201,4.315,71.73,106293.66,15513.38,Indonesia Bagian Barat,10.69,0.359,80.29,93.82,49.79,184130.9443,74.245,1360960131,34718.2,59502.7,40848,18654.7
JAWA TENGAH,2020,53.20439397,26483.64,35.63,0.669536969,0.3725,5.34,71.87,101430.17,9914.82,Indonesia Bagian Barat,11.625,0.3605,83.24,94.07,55.82,192610.1887,74.405,1347922689,36516,50241.94,19635.84,30606.1
JAWA TENGAH,2021,56.33969737,27143.42,29.81,0.74972644,0.3962,5.955,72.16,103814.45,11376.72,Indonesia Bagian Barat,11.52,0.37,83.28,93.62,59.9,196876.4728,74.515,1420799908,36742.5,52713.34,21402.14,31311.2
DI YOGYAKARTA,2015,41.47539163,22688.36,39.58,1.066673,0.4879,4.07,77.59,12127.25,2109.89,Indonesia Bagian Barat,14.035,0.4265,86.31,80.99,80.77,10793.84009,74.72,101440518.4,3669.2,1476.15,1113.75,362.4
DI YOGYAKARTA,2016,43.02829316,23565.68,35.98,1.05650591,0.4509,2.765,78.38,13043.42,2219.09,Indonesia Bagian Barat,13.22,0.4225,85.78,81.04,79.95,11456.17297,74.73,109962353.6,3720.9,1217.12,268.52,948.6
DI YOGYAKARTA,2017,44.89547306,24533.8,32.9,1.058097282,0.4345,2.93,78.89,14262.57,2709.9,Indonesia Bagian Barat,12.69,0.436,89.4,77.19,85.53,11932.97635,74.76,119128718.8,3762.2,780.05,485.45,294.6
DI YOGYAKARTA,2018,46.35047045,25776.31,35.32,1.002080303,0.4555,3.185,79.53,14948.19,2852.72,Indonesia Bagian Barat,11.97,0.4315,88.92,80.62,81.96,12700.21369,74.84,129818357.9,3802.9,7221.12,1089.42,6131.7
DI YOGYAKARTA,2019,48.05418268,27008.68,35.67,0.952291621,0.4836,3.035,79.99,16143.71,3066.6,Indonesia Bagian Barat,11.57,0.424,94.67,94.94,84.54,13237.38064,74.945,141047688,3842.9,6517.8,219,6298.8
DI YOGYAKARTA,2020,47.72778464,27750.38,38.07,0.942954038,0.4259,3.975,79.97,14851.76,2289.87,Indonesia Bagian Barat,12.54,0.4355,96.96,96.02,87.99,14087.44696,75.025,138306833.3,3668.7,2823.08,139.68,2683.4
DI YOGYAKARTA,2021,48.74320485,28901.58,30.2,0.917227995,0.4464,4.42,80.22,15581.24,2037.65,Indonesia Bagian Barat,12.355,0.4385,97.12,95.69,90.12,14521.69079,75.08,149369169.1,3712.9,3079.58,318.28,2761.3
JAWA TIMUR,2015,67.23987911,34271.81,33.45,0.858172739,0.3681,4.39,68.95,99173.1,18679.21,Indonesia Bagian Barat,12.31,0.409,63.48,76.64,52.04,230942.4595,70.73,1691477062,38784.3,67907.3,32417.5,35489.8
JAWA TIMUR,2016,71.53480967,35970.78,29.88,0.900934224,0.3788,4.175,69.74,107385.11,20541.37,Indonesia Bagian Barat,11.95,0.402,68.15,75.83,55.13,249453.6332,70.74,1855738429,39075.3,72923.3,26591.7,46331.6
JAWA TIMUR,2017,73.98809296,37724.29,31.48,0.949765469,0.3865,4.05,70.27,113142.67,20224.43,Indonesia Bagian Barat,11.485,0.4055,68.83,75.54,59.9,258454.4214,70.76,2012917992,39293,65881.61,20837.11,45044.5
JAWA TIMUR,2018,75.87546606,39579.95,33.8,0.981974262,0.3812,3.84,70.77,116724.14,18572.38,Indonesia Bagian Barat,10.915,0.375,68.84,75.2,62.48,259263.0272,70.93,2188766345,39500.9,51200.66,17867.56,33333.1
JAWA TIMUR,2019,77.99535484,41512.2,35.59,0.954040549,0.3936,3.795,71.5,129179.51,21119.93,Indonesia Bagian Barat,10.285,0.367,78.78,94.39,57.74,266395.8396,71.225,2345548552,39698.6,58447.2,12994.5,45452.7
JAWA TIMUR,2020,74.22736118,39689.02,32.8,0.944427995,0.3636,4.72,71.71,122610.1,14474.64,Indonesia Bagian Barat,11.275,0.365,80.98,95.56,63.53,273542.8142,71.345,2299791052,40665.7,78347.8,22687.2,55660.6
JAWA TIMUR,2021,79.36569004,40830.88,28.55,1.000786416,0.3736,5.455,72.14,126962.87,14922.09,Indonesia Bagian Barat,10.995,0.369,80.97,95.02,66.33,282386.4841,71.43,2454498796,40878.8,79550.52,26998.32,52552.2
BANTEN,2015,70.73127939,30813.03,30.34,1.519453423,0.6146,9.065,70.27,26983.35,6363.91,Indonesia Bagian Barat,5.825,0.3935,67.04,67.68,52.95,28121.53758,69.475,479300443.7,11967.6,42484.9,31775,10709.9
BANTEN,2016,74.09529754,31781.56,28.3,1.474593581,0.6151,8.435,70.96,29984.18,6687.28,Indonesia Bagian Barat,5.39,0.393,73.42,67.47,60.83,31184.97712,69.49,517898343.6,12203.1,52322.07,39895.77,12426.3
BANTEN,2017,74.47618483,32947.6,27.51,1.550378014,0.5807,8.515,71.42,32208.18,7114.91,Indonesia Bagian Barat,5.52,0.3805,71.68,66.11,59.87,33265.71076,69.52,563597700.5,12448.2,55673.65,40531.75,15141.9
